id,code,name
l10n_ar_ux.afip_activity_12120,12120,CRIA DE GANADO OVINO,EXCEPTO EN CABAÑAS Y PARA LA PRODUCCION DE LANA
l10n_ar_ux.afip_activity_12121,12121,CULTIVO DE UVA DE MESA
l10n_ar_ux.afip_activity_12130,12130,CRIA DE GANADO PORCINO,EXCEPTO EN CABAÑAS
l10n_ar_ux.afip_activity_12140,12140,CRIA DE GANADO EQUINO,EXCEPTO EN HARAS
l10n_ar_ux.afip_activity_12150,12150,CRIA DE GANADO CAPRINO,EXCEPTO EN CABAÑAS Y PARA PRODUCCION DE LECHE
l10n_ar_ux.afip_activity_12161,12161,CRIA DE GANADO BOVINO EN CABAÑAS
l10n_ar_ux.afip_activity_12162,12162,CRIA DE GANADO OVINO,PORCINO Y CAPRINO EN CABAÑAS
l10n_ar_ux.afip_activity_12163,12163,CRIA DE GANADO EQUINO EN HARAS
l10n_ar_ux.afip_activity_12169,12169,CRIA EN CABAÑAS DE GANADO N.C.P.
l10n_ar_ux.afip_activity_12171,12171,PRODUCCION DE LECHE DE GANADO BOVINO
l10n_ar_ux.afip_activity_12179,12179,PRODUCCION DE LECHE DE GANADO N.C.P.
l10n_ar_ux.afip_activity_12181,12181,PRODUCCION DE LANA
l10n_ar_ux.afip_activity_12182,12182,PRODUCCION DE PELOS
l10n_ar_ux.afip_activity_12190,12190,CRIA DE GANADO N.C.P.
l10n_ar_ux.afip_activity_12200,12200,CULTIVO DE FRUTAS CÍTRICAS
l10n_ar_ux.afip_activity_12211,12211,CRIA DE AVES PARA PRODUCCION DE CARNE
l10n_ar_ux.afip_activity_12212,12212,CRIA DE AVES PARA PRODUCCION DE HUEVOS
l10n_ar_ux.afip_activity_12220,12220,PRODUCCION DE HUEVOS
l10n_ar_ux.afip_activity_12230,12230,APICULTURA
l10n_ar_ux.afip_activity_12241,12241,CRIA DE ANIMALES PARA LA OBTENCION DE PIELES Y CUEROS
l10n_ar_ux.afip_activity_12242,12242,CRIA DE ANIMALES PARA LA OBTENCION DE PELOS
l10n_ar_ux.afip_activity_12243,12243,CRIA DE ANIMALES PARA LA OBTENCION DE PLUMAS
l10n_ar_ux.afip_activity_12290,12290,CRIA DE ANIMALES Y OBTENCION DE PRODUCTOS DE ORIGEN ANIMAL,N.C.P.
l10n_ar_ux.afip_activity_12311,12311,CULTIVO DE MANZANA Y PERA
l10n_ar_ux.afip_activity_12319,12319,CULTIVO DE FRUTAS DE PEPITA N.C.P.
l10n_ar_ux.afip_activity_12320,12320,CULTIVO DE FRUTAS DE CAROZO
l10n_ar_ux.afip_activity_12410,12410,CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES
l10n_ar_ux.afip_activity_12420,12420,CULTIVO DE FRUTAS SECAS
l10n_ar_ux.afip_activity_12490,12490,CULTIVO DE FRUTAS N.C.P.
l10n_ar_ux.afip_activity_12510,12510,CULTIVO DE CAÑA DE AZÚCAR
l10n_ar_ux.afip_activity_12590,12590,CULTIVO DE PLANTAS SACARÍFERAS N.C.P.
l10n_ar_ux.afip_activity_12600,12600,CULTIVO DE FRUTOS OLEAGINOSOS
l10n_ar_ux.afip_activity_12701,12701,CULTIVO DE YERBA MATE
l10n_ar_ux.afip_activity_12709,12709,CULTIVO DE TÉ Y OTRAS PLANTAS CUYAS HOJAS SE UTILIZAN PARA PREPARAR INFUSIONES
l10n_ar_ux.afip_activity_12800,12800,CULTIVO DE ESPECIAS Y DE PLANTAS AROMÁTICAS Y MEDICINALES
l10n_ar_ux.afip_activity_12900,12900,CULTIVOS PERENNES N.C.P.
l10n_ar_ux.afip_activity_13011,13011,PRODUCCIÓN DE SEMILLAS HÍBRIDAS DE CEREALES Y OLEAGINOSAS
l10n_ar_ux.afip_activity_13012,13012,PRODUCCIÓN DE SEMILLAS VARIETALES O AUTOFECUNDADAS DE CEREALES, OLEAGINOSAS, Y FORRAJERAS
l10n_ar_ux.afip_activity_13013,13013,PRODUCCIÓN DE SEMILLAS DE HORTALIZAS Y LEGUMBRES, FLORES Y PLANTAS ORNAMENTALES Y ÁRBOLES FRUTALES
l10n_ar_ux.afip_activity_13019,13019,PRODUCCIÓN DE SEMILLAS DE CULTIVOS AGRÍCOLAS N.C.P.
l10n_ar_ux.afip_activity_13020,13020,PRODUCCIÓN DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS
l10n_ar_ux.afip_activity_14111,14111,SERVICIOS DE LABRANZA,SIEMBRA,TRANSPLANTE Y CUIDADOS CULTURALES
l10n_ar_ux.afip_activity_14112,14112,SERVICIOS DE PULVERIZACION,DESINFECCION Y FUMIGACION AEREA Y TERRESTRE,EXCEPTO LA MANUAL
l10n_ar_ux.afip_activity_14113,14113,CRÍA DE GANADO BOVINO, EXCEPTO LA REALIZADA EN CABAÑAS Y PARA LA PRODUCCIÓN DE LECHE
l10n_ar_ux.afip_activity_14114,14114,INVERNADA  DE GANADO BOVINO EXCEPTO EL ENGORDE EN CORRALES (FEED-LOT)
l10n_ar_ux.afip_activity_14115,14115,ENGORDE EN CORRALES (FEED-LOT)
l10n_ar_ux.afip_activity_14119,14119,SERVICIOS DE MAQUINARIA AGRICOLA N.C.P.,EXCEPTO LOS DE COSECHA MECANICA
l10n_ar_ux.afip_activity_14120,14120,SERVICIOS DE COSECHA MECANICA
l10n_ar_ux.afip_activity_14121,14121,CRÍA DE GANADO BOVINO REALIZADA EN CABAÑAS
l10n_ar_ux.afip_activity_14130,14130,SERVICIOS DE CONTRATISTAS DE MANO DE OBRA AGRICOLA
l10n_ar_ux.afip_activity_14190,14190,SERVICIOS AGRICOLAS N.C.P
l10n_ar_ux.afip_activity_14210,14210,INSEMINACION ARTIFICIAL Y SERVICIOS N.C.P.PARA MEJORAR LA REPRODUCCION DE LOS ANIMALES Y EL RENDIMIENTO DE SUS PRODUCTOS
l10n_ar_ux.afip_activity_14211,14211,CRÍA DE GANADO EQUINO, EXCEPTO LA REALIZADA EN HARAS
l10n_ar_ux.afip_activity_14220,14220,SERVICIOS DE CONTRATISTAS DE MANO DE OBRA PECUARIA
l10n_ar_ux.afip_activity_14221,14221,CRÍA DE GANADO EQUINO REALIZADA EN HARAS
l10n_ar_ux.afip_activity_14291,14291,SERVICIOS PARA EL CONTROL DE PLAGAS,BAÑOS PARASITICIDAS,ETC.
l10n_ar_ux.afip_activity_14292,14292,ALBERGUE Y CUIDADO DE ANIMALES DE TERCEROS
l10n_ar_ux.afip_activity_14299,14299,SERVICIOS PECUARIOS N.C.P.,EXCEPTO LOS VETERINARIOS
l10n_ar_ux.afip_activity_14300,14300,CRÍA DE CAMÉLIDOS
l10n_ar_ux.afip_activity_14410,14410,CRÍA DE GANADO OVINO -EXCEPTO EN CABAÑAS Y PARA LA  PRODUCCIÓN DE LANA Y LECHE-
l10n_ar_ux.afip_activity_14420,14420,CRÍA DE GANADO OVINO REALIZADA EN CABAÑAS
l10n_ar_ux.afip_activity_14430,14430,CRÍA DE GANADO CAPRINO -EXCEPTO LA REALIZADA EN CABAÑAS Y PARA PRODUCCIÓN DE PELOS Y DE LECHE-
l10n_ar_ux.afip_activity_14440,14440,CRÍA DE GANADO CAPRINO REALIZADA EN CABAÑAS
l10n_ar_ux.afip_activity_14510,14510,CRÍA DE GANADO PORCINO, EXCEPTO LA REALIZADA EN CABAÑAS
l10n_ar_ux.afip_activity_14520,14520,CRÍA DE GANADO PORCINO REALIZADO EN CABAÑAS
l10n_ar_ux.afip_activity_14610,14610,PRODUCCIÓN DE LECHE BOVINA
l10n_ar_ux.afip_activity_14620,14620,PRODUCCIÓN DE LECHE DE OVEJA Y DE CABRA
l10n_ar_ux.afip_activity_14710,14710,PRODUCCIÓN DE LANA Y PELO DE OVEJA Y CABRA (CRUDA)
l10n_ar_ux.afip_activity_14720,14720,PRODUCCIÓN DE PELOS DE GANADO N.C.P.
l10n_ar_ux.afip_activity_14810,14810,CRÍA DE AVES DE CORRAL, EXCEPTO PARA LA PRODUCCIÓN DE HUEVOS
l10n_ar_ux.afip_activity_14820,14820,PRODUCCIÓN DE HUEVOS
l10n_ar_ux.afip_activity_14910,14910,APICULTURA
l10n_ar_ux.afip_activity_14920,14920,CUNICULTURA
l10n_ar_ux.afip_activity_14930,14930,CRÍA DE ANIMALES PELÍFEROS, PILÍFEROS Y PLUMÍFEROS, EXCEPTO DE LAS ESPECIES GANADERAS
l10n_ar_ux.afip_activity_14990,14990,CRÍA DE ANIMALES Y OBTENCIÓN DE PRODUCTOS DE ORIGEN ANIMAL, N.C.P.
l10n_ar_ux.afip_activity_15010,15010,CAZA Y CAPTURA DE ANIMALES VIVOS Y REPOBLACION DE ANIMALES DE CAZA
l10n_ar_ux.afip_activity_15020,15020,SERVICIOS PARA LA CAZA
l10n_ar_ux.afip_activity_16111,16111,SERVICIOS DE LABRANZA, SIEMBRA, TRANSPLANTE  Y  CUIDADOS CULTURALES
l10n_ar_ux.afip_activity_16112,16112,SERVICIOS DE PULVERIZACIÓN, DESINFECCIÓN Y FUMIGACIÓN TERRESTRE
l10n_ar_ux.afip_activity_16113,16113,SERVICIOS DE PULVERIZACIÓN, DESINFECCIÓN Y FUMIGACIÓN AÉREA
l10n_ar_ux.afip_activity_16119,16119,SERVICIOS DE MAQUINARIA AGRÍCOLA N.C.P., EXCEPTO LOS DE COSECHA MECÁNICA
l10n_ar_ux.afip_activity_16120,16120,SERVICIOS DE COSECHA MECÁNICA
